Date,Expiry,Strike,Type,Symbol,Open,High,Low,Close,Volume,OI,Change in OI,Underlying Value
26-Feb-2026,30-Mar-2026,5600.0,PE,ABB,34.15,38.6,32.1,34.55,31500,41625,1250,6133.0
26-Feb-2026,30-Mar-2026,4100.0,PE,ABB,0.4,1.75,0.4,1.7,500,1000,-250,6133.0
26-Feb-2026,30-Mar-2026,380.0,CE,ABCAPITAL,3.3,4.85,2.95,3.95,2117300,939300,-139500,356.15
26-Feb-2026,30-Mar-2026,395.0,CE,ABCAPITAL,1.4,2.2,1.4,1.85,235600,145700,-37200,356.15
26-Feb-2026,30-Mar-2026,405.0,CE,ABCAPITAL,0.4,1.3,0.4,1.15,213900,244900,-6200,356.15
26-Feb-2026,30-Mar-2026,375.0,CE,ABCAPITAL,4,6.15,3.9,5.2,644800,412300,9300,356.15
26-Feb-2026,30-Mar-2026,390.0,CE,ABCAPITAL,1.75,2.75,1.75,2.25,496000,378200,31000,356.15
26-Feb-2026,30-Mar-2026,400.0,CE,ABCAPITAL,1.1,1.7,1,1.4,747100,877300,-108500,356.15
26-Feb-2026,30-Mar-2026,385.0,CE,ABCAPITAL,2.5,3.7,2.5,3,238700,232500,15500,356.15
26-Feb-2026,30-Mar-2026,330.0,PE,ABCAPITAL,3.6,3.7,2.6,3.05,1032300,390600,-27900,356.15
26-Feb-2026,30-Mar-2026,320.0,PE,ABCAPITAL,2.05,2.05,1.5,1.55,1196600,1655400,573500,356.15
26-Feb-2026,30-Mar-2026,310.0,PE,ABCAPITAL,1.15,1.15,0.85,0.9,207700,220100,-15500,356.15
26-Feb-2026,30-Mar-2026,335.0,PE,ABCAPITAL,4.8,4.8,3.5,3.95,465000,117800,3100,356.15
26-Feb-2026,30-Mar-2026,315.0,PE,ABCAPITAL,1.4,1.4,1.15,1.2,148800,158100,-15500,356.15
26-Feb-2026,30-Mar-2026,300.0,PE,ABCAPITAL,0.5,0.55,0.5,0.5,83700,331700,40300,356.15
26-Feb-2026,30-Mar-2026,325.0,PE,ABCAPITAL,2.75,2.75,2,2.2,182900,179800,27900,356.15
26-Feb-2026,30-Mar-2026,305.0,PE,ABCAPITAL,0,0,0,0.95,0,46500,0,356.15
26-Feb-2026,30-Mar-2026,6500.0,CE,ALKEM,11.35,11.45,9.1,9.9,2500,1750,500,5752.0
26-Feb-2026,30-Mar-2026,6200.0,CE,ALKEM,22,38,21.45,29.95,9875,4250,500,5752.0
26-Feb-2026,30-Mar-2026,6300.0,CE,ALKEM,24.9,25.4,14.5,18.85,6875,2875,2125,5752.0
26-Feb-2026,30-Mar-2026,6100.0,CE,ALKEM,28,55.6,28,45.5,10125,4500,3250,5752.0
26-Feb-2026,30-Mar-2026,6050.0,CE,ALKEM,63,65.5,39.7,55.8,3625,1500,1375,5752.0
26-Feb-2026,30-Mar-2026,6250.0,CE,ALKEM,34.5,34.5,18.05,18.05,750,500,375,5752.0
26-Feb-2026,30-Mar-2026,6150.0,CE,ALKEM,21.5,44.7,21.5,36.95,25750,3000,-250,5752.0
26-Feb-2026,30-Mar-2026,6400.0,CE,ALKEM,0,0,0,8.05,0,2500,0,5752.0
26-Feb-2026,30-Mar-2026,5200.0,PE,ALKEM,0,0,0,49.8,0,3125,0,5752.0
26-Feb-2026,30-Mar-2026,5350.0,PE,ALKEM,0,0,0,45.85,0,2750,0,5752.0
26-Feb-2026,30-Mar-2026,5300.0,PE,ALKEM,37.55,37.55,23,24.25,12875,21125,4375,5752.0
26-Feb-2026,30-Mar-2026,4950.0,PE,ALKEM,0,0,0,11.1,0,3625,0,5752.0
26-Feb-2026,30-Mar-2026,4600.0,PE,ALKEM,0,0,0,9.8,0,500,0,5752.0
26-Feb-2026,30-Mar-2026,5250.0,PE,ALKEM,29.2,29.2,20.1,20.1,250,125,125,5752.0
26-Feb-2026,30-Mar-2026,4800.0,PE,ALKEM,0,0,0,41.35,0,0,0,5752.0
26-Feb-2026,30-Mar-2026,4850.0,PE,ALKEM,0,0,0,7.05,0,2500,0,5752.0
26-Feb-2026,30-Mar-2026,5000.0,PE,ALKEM,11.6,12,7.5,7.5,15000,5250,-5375,5752.0
26-Feb-2026,30-Mar-2026,5400.0,PE,ALKEM,50.05,55.25,35.05,35.85,9125,12125,4875,5752.0
26-Feb-2026,30-Mar-2026,5150.0,PE,ALKEM,0,0,0,35.05,0,0,0,5752.0
26-Feb-2026,30-Mar-2026,5100.0,PE,ALKEM,11,11.5,11,11.5,375,1000,125,5752.0
26-Feb-2026,30-Mar-2026,4900.0,PE,ALKEM,10,10,10,10,250,250,-125,5752.0
26-Feb-2026,30-Mar-2026,5450.0,PE,ALKEM,0,0,0,66.95,0,4625,0,5752.0
26-Feb-2026,30-Mar-2026,8400.0,CE,AMBER,198,198,155.6,158.6,5100,9900,900,7942.5
26-Feb-2026,30-Mar-2026,8800.0,CE,AMBER,96.45,96.5,70,76.85,26400,25400,4400,7942.5
26-Feb-2026,30-Mar-2026,8600.0,CE,AMBER,130,131,102.2,113.4,5900,6000,600,7942.5
26-Feb-2026,30-Mar-2026,9000.0,CE,AMBER,0,0,0,13.3,0,0,0,7942.5
26-Feb-2026,30-Mar-2026,8700.0,CE,AMBER,0,0,0,53.2,0,0,0,7942.5
26-Feb-2026,30-Mar-2026,8500.0,CE,AMBER,166,166,125,133.7,66400,77100,4100,7942.5
26-Feb-2026,30-Mar-2026,7400.0,PE,AMBER,111,118.95,106.4,106.45,1400,4900,0,7942.5
26-Feb-2026,30-Mar-2026,7300.0,PE,AMBER,96.2,105.7,87.55,94,2300,1500,400,7942.5
26-Feb-2026,30-Mar-2026,6700.0,PE,AMBER,39,39,32,32,800,6500,100,7942.5
26-Feb-2026,30-Mar-2026,7000.0,PE,AMBER,55,63.8,53.05,60.55,14500,59700,3600,7942.5
26-Feb-2026,30-Mar-2026,6500.0,PE,AMBER,30,30,23.8,24.05,2200,7700,1000,7942.5
26-Feb-2026,30-Mar-2026,7200.0,PE,AMBER,76,84.25,74,81.25,2600,7500,200,7942.5
26-Feb-2026,30-Mar-2026,6000.0,PE,AMBER,15.75,15.75,11.95,12.5,600,5000,-100,7942.5
26-Feb-2026,30-Mar-2026,4600.0,PE,AMBER,7.8,7.8,7.8,7.8,100,300,100,7942.5
26-Feb-2026,30-Mar-2026,7500.0,PE,AMBER,129,145,123.6,138.8,26100,29700,2100,7942.5
26-Feb-2026,30-Mar-2026,4800.0,PE,AMBER,0,0,0,75.05,0,300,0,7942.5
26-Feb-2026,30-Mar-2026,5600.0,PE,AMBER,0,0,0,270,0,100,0,7942.5
